Seed & Epoch,Loss,"L1 W1,1","L1 W2,1","L1 W1,2","L1 W2,2",L1 B1,L1 B2,"L2 W1,1","L2 W2,1",L2 B1,"L1 GW1,1","L1 GW2,1","L1 GW1,2","L1 GW2,2",L1 GB1,L1 GB2,"L2 GW1,1","L2 GW2,1",L2 GB1,Predicted Y1,Predicted Y2,Predicted Y3,Predicted Y4
Seed 1 / Epoch 50000,2.368050263612531e-05,1.8325510025024412,-1.8346953392028809,-2.3409645557403564,2.3445024490356445,-0.7896252870559692,-1.1123337745666504,2.257364273071289,2.1805062294006348,3.2408995628356934,-2.0933435735059905e-05,2.0696144929388535e-05,1.3379566553339828e-05,-1.460648581996793e-05,9.741001122165471e-06,4.644752152671572e-06,-2.2446636648965068e-05,-2.382006641710177e-05,-5.08805678691715e-05,5.125999450683594e-05,0.9932736158370972,0.9929662346839904,3.5762786865234375e-05
Seed 2 / Epoch 50000,1.1398042261134831e-05,-2.2641639709472656,-2.339650630950928,1.3209468126296997,1.3387192487716677,0.8074254989624023,-2.01075291633606,-2.584700345993042,-2.805912971496582,-0.980035662651062,1.1404186807340013e-05,9.800100997381378e-06,-1.4029483281774446e-05,-1.3693759683519602e-05,-6.231671704881592e-06,2.382601451245137e-05,2.478345413692296e-05,2.501783455954865e-05,3.039765942958184e-06,3.856420516967773e-05,0.9952412247657776,0.9952102899551392,5.84721565246582e-05
Seed 3 / Epoch 50000,1.2571815204864834e-05,1.5819438695907593,1.5799516439437866,-1.879083633422852,-1.875235676765442,-2.461064338684082,0.5871315002441406,-2.562325954437256,-2.673524141311645,-1.1140602827072144,-1.2422438885550946e-05,-1.24954131024424e-05,1.6976538972812705e-05,1.710224933049176e-05,1.8078339053317904e-05,-8.625772352388594e-06,2.9968055969220583e-05,2.7539705115486868e-05,-2.6702400646172464e-07,4.482269287109375e-05,0.9949852228164672,0.9949865937232972,5.495548248291016e-05
Seed 4 / Epoch 50000,0.1251344978809356,0.8992059230804443,-4.717166423797607,-1.6494674682617188,-4.390315532684326,-0.7714605927467346,-0.4177010655403137,1.9370795488357544,-2.035698890686035,0.4508277773857116,-2.3938147933222357e-05,0.0001251424255315,7.747938070679083e-06,9.79797841864638e-05,1.5913814422674477e-05,1.0683314030757174e-05,-3.606174504966475e-05,2.2057689420762472e-05,-1.4200806617736816e-05,0.0001150369644165,0.4999518692493438,0.990424871444702,0.5003979802131653
Seed 5 / Epoch 50000,1.174353383248672e-05,1.387195110321045,1.3658949136734009,2.4119997024536133,2.317474603652954,-2.083648443222046,-0.83469557762146,-2.7090771198272705,2.502845048904419,-0.9169530272483826,-1.3450535334413871e-05,-1.3815042620990424e-05,-9.000839781947434e-06,-1.0898227628786117e-05,2.309057890670374e-05,6.321461569314124e-06,2.696376577659976e-05,-2.609782677609473e-05,2.914719516411424e-06,3.9458274841308594e-05,0.9951335787773132,0.9951743483543396,6.008148193359375e-05
Seed 6 / Epoch 50000,0.1251301914453506,-1.290442705154419,4.807362079620361,1.399043083190918,4.199395179748535,1.1325206756591797,0.5261924862861633,-1.9171829223632808,1.7582672834396362,0.7083660960197449,2.277975727338344e-05,-0.0001216221571667,-5.511557901627384e-06,-9.7333308076486e-05,-1.4927354641258717e-05,-1.071645692718448e-05,3.579557596822269e-05,-2.088813198497519e-05,-1.4230608940124512e-05,0.0001459717750549,0.4999209344387054,0.990893304347992,0.5003586411476135
Seed 7 / Epoch 50000,1.1321083547954912e-05,1.3155726194381714,1.316584825515747,-2.328779458999634,-2.333218574523926,-1.9853880405426023,0.8319197297096252,-2.826436996459961,-2.577382326126098,-0.965265154838562,-1.4101624401519077e-05,-1.4083514543017372e-05,1.0440648111398332e-05,1.0348058822273742e-05,2.399145523668267e-05,-5.560677891480736e-06,2.465628676873166e-05,2.4601973564131185e-05,3.406150426599197e-06,3.838539123535156e-05,0.9952427744865416,0.9952409863471984,5.877017974853516e-05
Seed 8 / Epoch 50000,1.1655581147351768e-05,2.3666374683380127,2.3124048709869385,1.366874098777771,1.35433030128479,-0.825603723526001,-2.0590925216674805,2.5299324989318848,-2.741549015045166,-0.9381380677223206,-9.685313671070617e-06,-1.0801948519656436e-05,-1.3586108252638953e-05,-1.3824952475260943e-05,6.1759828895446844e-06,2.3441603843821213e-05,-2.572477569628973e-05,2.635799319250509e-05,2.907536327256821e-06,3.921985626220703e-05,0.9951609373092652,0.995183289051056,5.960464477539063e-05
Seed 9 / Epoch 50000,1.163496472145198e-05,1.3402822017669678,1.3811205625534058,-2.338610887527466,-2.537831544876098,-2.0518181324005127,0.8730051517486572,-2.723348617553711,-2.483358860015869,-0.8892841339111328,-1.4520286640617996e-05,-1.3901139027439058e-05,1.1168242053827273e-05,7.46428850106895e-06,2.2888525563757867e-05,-6.09191693001776e-06,2.653997580637224e-05,2.5816039851633832e-05,3.884040779666975e-06,3.9517879486083984e-05,0.9952171444892884,0.9951359629631042,6.109476089477539e-05
Seed 10 / Epoch 50000,1.1041184734494893e-05,-1.305846929550171,-1.2804601192474363,-2.300264835357666,-2.195842266082764,1.9534212350845337,0.7767928838729858,2.890230178833008,-2.6641201972961426,-1.0422987937927246,1.3663255231222138e-05,1.419811087544076e-05,9.900039913190994e-06,1.2188444088678809e-05,-2.4280594516312703e-05,-6.198317805683473e-06,-2.357162520638667e-05,2.334504279133398e-05,2.8524864319479093e-06,3.707408905029297e-05,0.9952813982963562,0.9953207969665528,5.674362182617188e-05
